municipality_code,municipality_name,harvest_year,planting_mmdd,r1_offset_days,r6_offset_days,water_deficit_reproductive_mm,dry_spell_longest_reproductive_days,hot_days_reproductive,precip_total_season_mm
4301859,Barra do Guarita,1980,10-01,65,123,0.0,8.0,0.0,1050.8000000000002
4301859,Barra do Guarita,1980,10-06,64,121,0.0,8.0,0.0,1047.2
4301859,Barra do Guarita,1980,10-11,62,120,0.0,8.0,0.0,996.3000000000002
4301859,Barra do Guarita,1980,10-16,61,119,0.0,8.0,0.0,995.0000000000001
4301859,Barra do Guarita,1980,10-21,60,117,0.0,8.0,0.0,1009.4000000000002
4301859,Barra do Guarita,1980,10-26,59,116,0.0,8.0,0.0,905.3000000000004
4301859,Barra do Guarita,1980,10-31,59,115,0.0,8.0,0.0,874.3000000000002
4301859,Barra do Guarita,1980,11-05,60,115,0.0,8.0,0.0,872.0000000000001
4301859,Barra do Guarita,1980,11-10,60,115,0.0,8.0,0.0,818.9
4301859,Barra do Guarita,1980,11-15,58,112,0.0,7.0,0.0,815.5
4301859,Barra do Guarita,1980,11-20,57,111,0.0,5.0,0.0,825.8999999999999
4301859,Barra do Guarita,1980,11-25,56,110,0.0,5.0,0.0,771.5999999999998
4301859,Barra do Guarita,1980,11-30,53,108,0.0,5.0,0.0,770.9999999999999
4301859,Barra do Guarita,1980,12-05,53,107,58.259386626297676,6.0,0.0,691.2999999999998
4301859,Barra do Guarita,1980,12-10,53,106,63.91126475416935,10.0,0.0,706.8999999999997
4301859,Barra do Guarita,1980,12-15,54,107,29.07281783954163,12.0,0.0,671.2999999999996
4301859,Barra do Guarita,1980,12-20,53,106,45.82747056436349,12.0,0.0,614.0999999999998
4301859,Barra do Guarita,1981,10-01,65,120,18.54022746691892,6.0,0.0,816.3
4301859,Barra do Guarita,1981,10-06,64,119,0.0,5.0,0.0,814.9
4301859,Barra do Guarita,1981,10-11,61,115,0.0,5.0,0.0,798.4999999999999
4301859,Barra do Guarita,1981,10-16,59,114,0.0,4.0,0.0,779.1
